ranking_year,rank,ranking_row,uefa_club_name,club_key,match_key,sofifa_team_id,sofifa_team_name,sofifa_match_key,club_league_id,club_league_name,club_logo,club_rating_from_player_csv,sofifa_player_rows,mapping_status,candidate_count,candidate_names
2026,1,1,Bayern München,bayern munchen,bayern munchen,21,FC Bayern München,bayern munchen,19,Bundesliga,https://cdn.sofifa.net/meta/team/503/30.png,84,31,matched,1,FC Bayern München
2026,2,2,Real Madrid,real madrid,real madrid,243,Real Madrid,real madrid,53,La Liga,https://cdn.sofifa.net/meta/team/3468/30.png,85,29,matched,1,Real Madrid
2026,3,3,Paris Saint-Germain,paris saint germain,paris saint germain,73,Paris Saint-Germain,paris saint germain,16,Ligue 1,https://cdn.sofifa.net/meta/team/591/30.png,83,27,matched_multiple_chose_highest_rating,2,Paris Saint-Germain | Paris FC
2026,4,4,Liverpool,liverpool,liverpool,9,Liverpool,liverpool,13,Premier League,https://cdn.sofifa.net/meta/team/8/30.png,84,26,matched,1,Liverpool
2026,5,5,Internazionale,inter,inter,44,Inter,inter,31,Serie A,https://cdn.sofifa.net/meta/team/2930/30.png,84,27,matched,1,Inter
2026,6,6,Manchester City,manchester city,manchester city,10,Manchester City,manchester city,13,Premier League,https://cdn.sofifa.net/meta/team/9/30.png,85,30,matched,1,Manchester City
2026,7,7,Arsenal,arsenal,arsenal,1,Arsenal,arsenal,13,Premier League,https://cdn.sofifa.net/meta/team/19/30.png,83,25,matched,1,Arsenal
2026,8,8,FC Barcelona,barcelona,barcelona,241,FC Barcelona,barcelona,53,La Liga,https://cdn.sofifa.net/meta/team/83/30.png,84,30,matched,1,FC Barcelona
2026,9,9,Bayer Leverkusen,bayer leverkusen,bayer leverkusen,32,Bayer 04 Leverkusen,bayer leverkusen,19,Bundesliga,https://cdn.sofifa.net/meta/team/3321/30.png,83,32,matched,1,Bayer 04 Leverkusen
2026,10,10,Atlético Madrid,atletico madrid,atletico madrid,240,Atlético Madrid,atletico madrid,53,La Liga,https://cdn.sofifa.net/meta/team/7980/30.png,82,29,matched,1,Atlético Madrid
2026,11,11,Borussia Dortmund,borussia dortmund,borussia dortmund,22,Borussia Dortmund,borussia dortmund,19,Bundesliga,https://cdn.sofifa.net/meta/team/68/30.png,81,29,matched,1,Borussia Dortmund
2026,12,12,Chelsea,chelsea,chelsea,5,Chelsea,chelsea,13,Premier League,https://cdn.sofifa.net/meta/team/18/30.png,80,29,matched,1,Chelsea
2026,13,13,AS Roma,roma,roma,52,Roma,roma,31,Serie A,https://cdn.sofifa.net/meta/team/37/30.png,79,28,matched,1,Roma
2026,14,14,Benfica,benfica,benfica,234,SL Benfica,benfica,308,Primeira Liga,https://cdn.sofifa.net/meta/team/605/30.png,79,29,matched,1,SL Benfica
2026,15,15,Sporting CP Lisbon,sporting cp lisbon,sporting cp lisbon,237,Sporting CP,sporting cp lisbon,308,Primeira Liga,https://cdn.sofifa.net/meta/team/58/30.png,79,33,matched,1,Sporting CP
2026,15,16,Atalanta,atalanta,atalanta,39,Atalanta,atalanta,31,Serie A,https://cdn.sofifa.net/meta/team/708/30.png,80,28,matched,1,Atalanta
2026,17,17,Aston Villa,aston villa,aston villa,2,Aston Villa,aston villa,13,Premier League,https://cdn.sofifa.net/meta/team/15/30.png,81,24,matched,1,Aston Villa
2026,17,18,Eintracht Frankfurt,eintracht frankfurt,eintracht frankfurt,1824,Eintracht Frankfurt,eintracht frankfurt,19,Bundesliga,https://cdn.sofifa.net/meta/team/366/30.png,77,30,matched,1,Eintracht Frankfurt
2026,19,19,Tottenham Hotspur,tottenham hotspur,tottenham hotspur,18,Tottenham Hotspur,tottenham hotspur,13,Premier League,https://cdn.sofifa.net/meta/team/6/30.png,81,29,matched,1,Tottenham Hotspur
2026,20,20,FC Porto,porto,porto,236,FC Porto,porto,308,Primeira Liga,https://cdn.sofifa.net/meta/team/652/30.png,76,28,matched,1,FC Porto
2026,21,21,Manchester United,manchester united,manchester united,11,Manchester United,manchester united,13,Premier League,https://cdn.sofifa.net/meta/team/14/30.png,80,28,matched,1,Manchester United
2026,22,22,Fiorentina,fiorentina,fiorentina,110374,Fiorentina,fiorentina,31,Serie A,https://cdn.sofifa.net/meta/team/109/30.png,77,27,matched,1,Fiorentina
2026,23,23,Club Brugge,club brugge,club brugge,231,Club Brugge KV,club brugge,4,Pro League,https://cdn.sofifa.net/meta/team/340/30.png,74,31,matched,1,Club Brugge KV
2026,24,24,Real Betis,real betis,real betis,449,Real Betis Balompié,real betis,53,La Liga,https://cdn.sofifa.net/meta/team/485/30.png,78,34,matched,1,Real Betis Balompié
2026,25,25,Juventus,juventus,juventus,45,Juventus,juventus,31,Serie A,https://cdn.sofifa.net/meta/team/625/30.png,80,29,matched,1,Juventus
2026,26,26,PSV Eindhoven,psv eindhoven,psv eindhoven,247,PSV,psv eindhoven,10,Eredivisie,https://cdn.sofifa.net/meta/team/682/30.png,78,35,matched,1,PSV
2026,27,27,Feyenoord,feyenoord,feyenoord,246,Feyenoord,feyenoord,10,Eredivisie,https://cdn.sofifa.net/meta/team/73/30.png,76,37,matched,1,Feyenoord
