match_id,team_id,side,score,formation,coach_name,sofifa_team_id,overall,attack,midfield,defence,build_up_style,defensive_line,defensive_approach
4506866,418,home,1,,,243,85,88,85,82,Balanced,90,High
4506870,583,home,2,,,73,84,85,84,85,Balanced,90,High
4506871,418,home,3,,,243,85,88,85,82,Balanced,90,High
4506873,583,home,4,,,73,84,85,84,85,Balanced,90,High
4506874,631,home,3,,,5,80,80,82,80,Balanced,65,High
4624298,3948,home,1,,,2014,74,74,73,75,Balanced,50,Balanced
4625710,124,home,2,,,86,73,72,73,72,Balanced,90,High
4627422,2282,home,2,,,231,74,73,76,73,Balanced,90,High
4625727,265,home,1,,,1884,74,73,74,73,Counter,50,Balanced
4683940,336,home,0,,,237,79,79,80,77,Balanced,65,High
4638183,413,home,0,,,252,68,73,68,68,Balanced,30,Deep
4691926,124,home,3,,,86,73,72,73,72,Balanced,90,High
4627251,26,home,4,,,896,71,69,72,71,Balanced,50,Balanced
4676662,409,home,0,,,191,70,69,70,69,Balanced,90,High
4676659,234,home,2,,,246,75,76,77,74,Short passing,65,High
4692614,265,home,0,,,1884,74,73,74,73,Counter,50,Balanced
4627485,157,home,2,,,674,70,70,70,68,Balanced,30,Deep
4703996,873,home,5,,,1799,79,78,77,80,Short passing,30,Deep
4638193,122,home,1,,,209,68,67,71,67,Short passing,90,High
4627250,2790,home,3,,,10032,70,71,68,68,Counter,50,Balanced
4691930,941,home,2,,,110468,72,73,71,73,Short passing,90,High
4676665,2282,home,3,,,231,74,73,76,73,Balanced,90,High
4676660,36,home,5,,,326,79,79,79,76,Balanced,90,High
4625635,583,home,6,,,73,84,85,84,85,Balanced,90,High
4692627,660,home,3,,,101059,72,71,73,73,Balanced,50,Balanced
4635006,273,home,1,,,74,76,74,76,74,Balanced,65,High
4622725,79,home,1,,,36,77,78,77,74,Balanced,90,High
4625775,405,home,0,,,2,80,83,81,80,Balanced,50,Balanced
4645613,621,home,3,,,448,80,78,81,78,Short passing,65,High
4625781,631,home,0,,,5,80,80,82,80,Balanced,65,High
4625782,985,home,0,,,11,80,82,80,79,Balanced,65,High
4697246,124,home,1,,,86,73,72,73,72,Balanced,90,High
4697247,279,home,1,,,1874,72,72,71,68,Short passing,50,Balanced
4697251,26,home,1,,,896,71,69,72,71,Balanced,50,Balanced
4697249,501,home,5,,,918,71,70,73,70,Balanced,90,High
4697252,36,home,0,,,326,79,79,79,76,Balanced,90,High
4705693,238,home,1,,,873,70,72,68,70,Balanced,50,Balanced
4632805,27,home,6,,,21,84,89,85,82,Balanced,65,High
4625784,379,home,1,,,19,77,78,77,77,Short passing,30,Deep
4625786,281,home,0,,,10,84,82,85,82,Balanced,65,High
4642892,409,home,3,,,191,70,69,70,69,Balanced,90,High
4620691,12,home,1,,,52,80,77,79,80,Balanced,50,Balanced
4634126,89,home,2,,,1831,75,72,73,75,Counter,30,Deep
4635016,1082,home,1,,,65,76,79,76,76,Balanced,65,High
4625793,873,home,1,,,1799,79,78,77,80,Short passing,30,Deep
4625785,762,home,2,,,13,81,81,84,80,Short passing,50,Balanced
4645517,621,home,1,,,448,80,78,81,78,Short passing,65,High
4705682,122,home,2,,,209,68,67,71,67,Short passing,90,High
4705680,10625,home,2,,,113888,69,67,69,67,Short passing,50,Balanced
4705686,2282,home,6,,,231,74,73,76,73,Balanced,90,High
4705684,190,home,2,,,819,72,73,72,71,Balanced,90,High
4705685,294,home,1,,,234,78,79,78,77,Balanced,90,High
4705705,1184,home,1,,,673,73,72,73,75,Balanced,50,Balanced
4648653,336,home,1,,,237,79,79,80,77,Balanced,65,High
4634137,16,home,3,,,22,81,83,80,82,Balanced,65,High
4645534,367,home,1,,,480,77,73,77,77,Short passing,65,High
4627262,452,home,3,,,900,70,70,71,68,Counter,50,Balanced
4638809,124,home,0,,,86,73,72,73,72,Balanced,90,High
4627542,157,home,1,,,674,70,70,70,68,Balanced,30,Deep
4627544,3948,home,2,,,2014,74,74,73,75,Balanced,50,Balanced
4635025,162,home,3,,,69,78,77,75,77,Balanced,65,High
4635032,1041,home,1,,,66,76,74,75,76,Balanced,65,High
4645533,150,home,1,,,449,78,77,79,77,Balanced,50,Balanced
4625794,405,home,0,,,2,80,83,81,80,Balanced,50,Balanced
4625795,1237,home,2,,,1808,78,78,78,78,Short passing,65,High
4625798,31,home,1,,,9,85,85,86,83,Balanced,65,High
4625800,703,home,0,,,14,79,79,79,79,Balanced,50,Balanced
4634147,15,home,3,,,32,79,82,79,77,Balanced,50,Balanced
4645565,681,home,1,,,457,77,79,77,75,Short passing,90,High
4634148,60,home,3,,,25,75,71,74,76,Balanced,50,Balanced
4620707,430,home,1,,,110374,77,79,75,75,Short passing,65,High
4645566,13,home,2,,,240,82,84,81,82,Balanced,65,High
4625804,11,home,3,,,1,84,86,84,84,Balanced,65,High
4620708,506,home,4,,,45,80,81,80,80,Balanced,90,High
4625813,379,home,0,,,19,77,78,77,77,Short passing,30,Deep
4627572,58,home,1,,,229,71,74,70,68,Balanced,90,High
4635041,273,home,3,,,74,76,74,76,74,Balanced,65,High
4620709,5,home,1,,,47,81,82,79,78,Short passing,50,Balanced
4625811,281,home,3,,,10,84,82,85,82,Balanced,65,High
4716845,148,home,1,,,18,81,79,81,81,Balanced,90,High
4716844,294,home,2,,,234,78,79,78,77,Balanced,90,High
4716774,506,home,4,,,45,80,81,80,80,Balanced,90,High
4716843,418,home,2,,,243,85,88,85,82,Balanced,90,High
4716779,383,home,1,,,247,77,76,80,76,Balanced,65,High
4716778,621,home,0,,,448,80,78,81,78,Short passing,65,High
4717479,31,home,3,,,9,85,85,86,83,Balanced,65,High
4716847,62,home,2,,,266,75,74,75,73,Short passing,50,Balanced
4717478,27,home,3,,,21,84,89,85,82,Balanced,65,High
4716777,583,home,4,,,73,84,85,84,85,Balanced,90,High
4716776,281,home,2,,,10,84,82,85,82,Balanced,65,High
4717481,190,home,2,,,819,72,73,72,71,Balanced,90,High
4717480,2282,home,4,,,231,74,73,76,73,Balanced,90,High
4717482,24,home,5,,,1824,78,77,78,80,Short passing,65,High
4717484,762,home,1,,,13,81,81,84,80,Short passing,50,Balanced
4645487,150,home,3,,,449,78,77,79,77,Balanced,50,Balanced
4625816,1237,home,2,,,1808,78,78,78,78,Short passing,65,High
4625820,985,home,2,,,11,80,82,80,79,Balanced,65,High
4625822,379,home,1,,,19,77,78,77,77,Short passing,30,Deep
4623184,9644,home,1,,,114326,69,71,69,70,Balanced,90,High
4642910,409,home,0,,,191,70,69,70,69,Balanced,90,High
4624582,197,home,2,,,267,73,75,74,72,Short passing,50,Balanced
4641233,1184,home,1,,,673,73,72,73,75,Balanced,50,Balanced
4620718,398,home,0,,,46,79,80,77,78,Balanced,30,Deep
4625814,11,home,1,,,1,84,86,84,84,Balanced,65,High
4634156,24,home,3,,,1824,78,77,78,80,Short passing,65,High
4665074,265,home,1,,,1884,74,73,74,73,Counter,50,Balanced
4641477,1090,home,3,,,1906,73,74,74,72,Balanced,65,High
4635050,244,home,1,,,219,79,81,79,79,Balanced,65,High
4627525,58,home,1,,,229,71,74,70,68,Balanced,90,High
4645540,368,home,1,,,481,75,75,76,75,Counter,50,Balanced
4715936,419,home,3,,,211,72,70,71,70,Counter,50,Balanced
4715941,150,home,2,,,449,78,77,79,77,Balanced,50,Balanced
4715955,1075,home,1,,,1896,74,74,75,74,Short passing,65,High
4715997,60,home,2,,,25,75,71,74,76,Balanced,50,Balanced
4716256,865,home,2,,,1516,71,71,70,71,Balanced,50,Balanced
4623156,9644,home,2,,,114326,69,71,69,70,Balanced,90,High
4623153,255,home,0,,,1871,69,69,70,70,Balanced,90,High
4645537,13,home,3,,,240,82,84,81,82,Balanced,65,High
4715950,405,home,1,,,2,80,83,81,80,Balanced,50,Balanced
4715990,452,home,1,,,900,70,70,71,68,Counter,50,Balanced
4715943,409,home,0,,,191,70,69,70,69,Balanced,90,High
4715976,279,home,1,,,1874,72,72,71,68,Short passing,50,Balanced
4715926,124,home,0,,,86,73,72,73,72,Balanced,90,High
4635051,667,home,1,,,76,75,76,74,75,Short passing,65,High
4620727,506,home,1,,,45,80,81,80,80,Balanced,90,High
4645582,1050,home,1,,,483,79,80,79,77,Short passing,50,Balanced
4645576,13,home,5,,,240,82,84,81,82,Balanced,65,High
4625827,873,home,2,,,1799,79,78,77,80,Short passing,30,Deep
4625826,631,home,1,,,5,80,80,82,80,Balanced,65,High
4645577,131,home,2,,,241,85,85,85,82,Balanced,65,High
4645580,367,home,0,,,480,77,73,77,77,Short passing,65,High
4625831,762,home,1,,,13,81,81,84,80,Short passing,50,Balanced
4623188,238,home,2,,,873,70,72,68,70,Balanced,50,Balanced
4620729,5,home,2,,,47,81,82,79,78,Short passing,50,Balanced
4635058,1082,home,0,,,65,76,79,76,76,Balanced,65,High
4715003,631,home,1,,,5,80,80,82,80,Balanced,65,High
4715031,800,home,2,,,39,79,79,79,79,Short passing,50,Balanced
4715117,141,home,1,,,325,80,84,80,79,Balanced,65,High
4715103,501,home,2,,,918,71,70,73,70,Balanced,90,High
4715000,46,home,3,,,44,83,86,83,83,Balanced,90,High
4715023,13,home,5,,,240,82,84,81,82,Balanced,65,High
4715009,16,home,4,,,22,81,83,80,82,Balanced,65,High
4715035,1050,home,2,,,483,79,80,79,77,Short passing,50,Balanced
4715128,10625,home,2,,,113888,69,67,69,67,Short passing,50,Balanced
4715124,3948,home,0,,,2014,74,74,73,75,Balanced,50,Balanced
4715113,162,home,2,,,69,78,77,75,77,Balanced,65,High
4715020,15,home,1,,,32,79,82,79,77,Balanced,50,Balanced
4715016,11,home,2,,,1,84,86,84,84,Balanced,65,High
4715010,131,home,1,,,241,85,85,85,82,Balanced,65,High
4715091,6195,home,2,,,48,81,79,82,80,Balanced,65,High
4715915,12,home,0,,,52,80,77,79,80,Balanced,50,Balanced
4715963,1041,home,2,,,66,76,74,75,76,Balanced,65,High
4715980,371,home,0,,,78,75,74,75,74,Balanced,90,High
4715927,234,home,0,,,246,75,76,77,74,Short passing,65,High
4715994,26,home,2,,,896,71,69,72,71,Balanced,50,Balanced
4716048,1184,home,0,,,673,73,72,73,75,Balanced,50,Balanced
4716021,1025,home,1,,,189,76,76,77,74,Balanced,65,High
4716013,301,home,0,,,100761,69,69,70,68,Balanced,30,Deep
4716007,122,home,2,,,209,68,67,71,67,Short passing,90,High
4716005,703,home,2,,,14,79,79,79,79,Balanced,50,Balanced
4716097,238,home,4,,,873,70,72,68,70,Balanced,50,Balanced
4634175,16,home,1,,,22,81,83,80,82,Balanced,65,High
4634174,24,home,0,,,1824,78,77,78,80,Short passing,65,High
4634173,15,home,2,,,32,79,82,79,77,Balanced,50,Balanced
4645508,418,home,3,,,243,85,88,85,82,Balanced,90,High
4625838,631,home,2,,,5,80,80,82,80,Balanced,65,High
4625834,11,home,2,,,1,84,86,84,84,Balanced,65,High
4641239,2282,home,1,,,231,74,73,76,73,Balanced,90,High
4642922,409,home,2,,,191,70,69,70,69,Balanced,90,High
4645514,681,home,0,,,457,77,79,77,75,Short passing,90,High
4645510,368,home,4,,,481,75,75,76,75,Counter,50,Balanced
4665013,1091,home,2,,,393,74,75,74,73,Balanced,90,High
4625842,762,home,2,,,13,81,81,84,80,Short passing,50,Balanced
4624607,197,home,1,,,267,73,75,74,72,Short passing,50,Balanced
4648344,190,home,1,,,819,72,73,72,71,Balanced,90,High
4620741,506,home,0,,,45,80,81,80,80,Balanced,90,High
4648743,336,home,1,,,237,79,79,80,77,Balanced,65,High
4648744,720,home,0,,,236,77,77,77,76,Balanced,65,High
4620739,430,home,1,,,110374,77,79,75,75,Short passing,65,High
4635068,1082,home,1,,,65,76,79,76,76,Balanced,65,High
4635071,583,home,3,,,73,84,85,84,85,Balanced,90,High
4625844,1237,home,2,,,1808,78,78,78,78,Short passing,65,High
4625850,703,home,0,,,14,79,79,79,79,Balanced,50,Balanced
4620755,12,home,0,,,52,80,77,79,80,Balanced,50,Balanced
4645602,1050,home,2,,,483,79,80,79,77,Short passing,50,Balanced
4634182,27,home,2,,,21,84,89,85,82,Balanced,65,High
4642929,170,home,0,,,254,69,67,69,70,Balanced,50,Balanced
4620753,5,home,2,,,47,81,82,79,78,Short passing,50,Balanced
4625848,31,home,1,,,9,85,85,86,83,Balanced,65,High
4625852,148,home,1,,,18,81,79,81,81,Balanced,90,High
4620747,800,home,0,,,39,79,79,79,79,Short passing,50,Balanced
4634183,60,home,2,,,25,75,71,74,76,Balanced,50,Balanced
4715018,15,home,2,,,32,79,82,79,77,Balanced,50,Balanced
4715109,190,home,2,,,819,72,73,72,71,Balanced,90,High
4715034,1050,home,0,,,483,79,80,79,77,Short passing,50,Balanced
4715134,762,home,3,,,13,81,81,84,80,Short passing,50,Balanced
4715012,131,home,6,,,241,85,85,85,82,Balanced,65,High
4715062,383,home,6,,,247,77,76,80,76,Balanced,65,High
4715121,3948,home,0,,,2014,74,74,73,75,Balanced,50,Balanced
4715015,11,home,4,,,1,84,86,84,84,Balanced,65,High
4714987,27,home,4,,,21,84,89,85,82,Balanced,65,High
4715057,162,home,0,,,69,78,77,75,77,Balanced,65,High
4715006,24,home,1,,,1824,78,77,78,80,Short passing,65,High
4715119,141,home,3,,,325,80,84,80,79,Balanced,65,High
4715038,336,home,2,,,237,79,79,80,77,Balanced,65,High
4715132,621,home,3,,,448,80,78,81,78,Short passing,65,High
4714979,418,home,1,,,243,85,88,85,82,Balanced,90,High
4715139,800,home,0,,,39,79,79,79,79,Short passing,50,Balanced
4716076,660,home,1,,,101059,72,71,73,73,Balanced,50,Balanced
4715981,371,home,2,,,78,75,74,75,74,Balanced,90,High
4716047,1184,home,0,,,673,73,72,73,75,Balanced,50,Balanced
4716014,301,home,1,,,100761,69,69,70,68,Balanced,30,Deep
4716003,703,home,2,,,14,79,79,79,79,Balanced,50,Balanced
4715954,36,home,1,,,326,79,79,79,76,Balanced,90,High
4715916,12,home,1,,,52,80,77,79,80,Balanced,50,Balanced
4716113,667,home,1,,,76,75,76,74,75,Short passing,65,High
4715965,1041,home,2,,,66,76,74,75,76,Balanced,65,High
4715930,234,home,3,,,246,75,76,77,74,Short passing,65,High
4715932,1082,home,3,,,65,76,79,76,76,Balanced,65,High
4715944,409,home,2,,,191,70,69,70,69,Balanced,90,High
4716082,170,home,0,,,254,69,67,69,70,Balanced,50,Balanced
4645557,681,home,2,,,457,77,79,77,75,Short passing,90,High
4620761,6195,home,3,,,48,81,79,82,80,Balanced,65,High
4625861,985,home,4,,,11,80,82,80,79,Balanced,65,High
4645561,418,home,2,,,243,85,88,85,82,Balanced,90,High
4620758,430,home,2,,,110374,77,79,75,75,Short passing,65,High
4620759,398,home,1,,,46,79,80,77,78,Balanced,30,Deep
4634191,15,home,2,,,32,79,82,79,77,Balanced,50,Balanced
4635078,1041,home,2,,,66,76,74,75,76,Balanced,65,High
4623859,255,home,0,,,1871,69,69,70,70,Balanced,90,High
4641652,234,home,2,,,246,75,76,77,74,Short passing,65,High
4625854,11,home,1,,,1,84,86,84,84,Balanced,65,High
4625855,405,home,1,,,2,80,83,81,80,Balanced,50,Balanced
4645560,150,home,0,,,449,78,77,79,77,Balanced,50,Balanced
4717153,24,home,3,,,1824,78,77,78,80,Short passing,65,High
4620767,800,home,1,,,39,79,79,79,79,Short passing,50,Balanced
4740851,31,home,0,,,9,85,85,86,83,Balanced,65,High
4740854,762,home,2,,,13,81,81,84,80,Short passing,50,Balanced
4740850,11,home,2,,,1,84,86,84,84,Balanced,65,High
4620772,46,home,3,,,44,83,86,83,83,Balanced,90,High
4625870,703,home,2,,,14,79,79,79,79,Balanced,50,Balanced
4634200,27,home,3,,,21,84,89,85,82,Balanced,65,High
4625868,31,home,2,,,9,85,85,86,83,Balanced,65,High
4634202,23826,home,3,,,112172,78,77,76,80,Counter,65,High
4625872,148,home,0,,,18,81,79,81,81,Balanced,90,High
4645585,13,home,3,,,240,82,84,81,82,Balanced,65,High
4645590,681,home,3,,,457,77,79,77,75,Short passing,90,High
4645593,1050,home,4,,,483,79,80,79,77,Short passing,50,Balanced
4634205,89,home,0,,,1831,75,72,73,75,Counter,30,Deep
4620780,5,home,1,,,47,81,82,79,78,Short passing,50,Balanced
4712532,2300,home,1,,,110745,69,72,69,69,Balanced,50,Balanced
4635099,273,home,4,,,74,76,74,76,74,Balanced,65,High
4625873,379,home,3,,,19,77,78,77,77,Short passing,30,Deep
4648725,720,home,2,,,236,77,77,77,76,Balanced,65,High
4627309,452,home,0,,,900,70,70,71,68,Counter,50,Balanced
4642941,170,home,2,,,254,69,67,69,70,Balanced,50,Balanced
4715037,683,home,1,,,280,76,79,76,75,Balanced,90,High
4715026,501,home,0,,,918,71,70,73,70,Balanced,90,High
4714994,583,home,1,,,73,84,85,84,85,Balanced,90,High
4714992,148,home,4,,,18,81,79,81,81,Balanced,90,High
4714990,31,home,1,,,9,85,85,86,83,Balanced,65,High
4715008,506,home,1,,,45,80,81,80,80,Balanced,90,High
4715033,62,home,0,,,266,75,74,75,73,Short passing,50,Balanced
4715093,6195,home,0,,,48,81,79,82,80,Balanced,65,High
4715025,13,home,3,,,240,82,84,81,82,Balanced,65,High
4715027,294,home,0,,,234,78,79,78,77,Balanced,90,High
4715055,10625,home,2,,,113888,69,67,69,67,Short passing,50,Balanced
4714982,281,home,4,,,10,84,82,85,82,Balanced,65,High
4714999,2282,home,3,,,231,74,73,76,73,Balanced,90,High
4715143,762,home,2,,,13,81,81,84,80,Short passing,50,Balanced
4715022,244,home,0,,,219,79,81,79,79,Balanced,65,High
4715993,26,home,3,,,896,71,69,72,71,Balanced,50,Balanced
4715969,1091,home,4,,,393,74,75,74,73,Balanced,90,High
4715940,150,home,2,,,449,78,77,79,77,Balanced,50,Balanced
4715958,1075,home,3,,,1896,74,74,75,74,Short passing,65,High
4715972,941,home,0,,,110468,72,73,71,73,Short passing,90,High
4716027,79,home,2,,,36,77,78,77,74,Balanced,90,High
4716255,865,home,3,,,1516,71,71,70,71,Balanced,50,Balanced
4716009,122,home,0,,,209,68,67,71,67,Short passing,90,High
4716094,873,home,3,,,1799,79,78,77,80,Short passing,30,Deep
4715923,124,home,0,,,86,73,72,73,72,Balanced,90,High
4716100,367,home,3,,,480,77,73,77,77,Short passing,65,High
4716090,197,home,0,,,267,73,75,74,72,Short passing,50,Balanced
4625882,148,home,2,,,18,81,79,81,81,Balanced,90,High
4634215,89,home,2,,,1831,75,72,73,75,Counter,30,Deep
4641215,157,home,1,,,674,70,70,70,68,Balanced,30,Deep
4635113,667,home,2,,,76,75,76,74,75,Short passing,65,High
4641214,58,home,1,,,229,71,74,70,68,Balanced,90,High
4625877,873,home,0,,,1799,79,78,77,80,Short passing,30,Deep
4642946,122,home,1,,,209,68,67,71,67,Short passing,90,High
4625879,281,home,3,,,10,84,82,85,82,Balanced,65,High
4620793,1025,home,2,,,189,76,76,77,74,Balanced,65,High
4645549,367,home,0,,,480,77,73,77,77,Short passing,65,High
4665019,265,home,2,,,1884,74,73,74,73,Counter,50,Balanced
4620796,46,home,2,,,44,83,86,83,83,Balanced,90,High
4641679,1090,home,1,,,1906,73,74,74,72,Balanced,65,High
4624637,941,home,3,,,110468,72,73,71,73,Short passing,90,High
4627311,26,home,0,,,896,71,69,72,71,Balanced,50,Balanced
4635106,1041,home,2,,,66,76,74,75,76,Balanced,65,High
4635115,273,home,4,,,74,76,74,76,74,Balanced,65,High
4645500,131,home,4,,,241,85,85,85,82,Balanced,65,High
4634218,27,home,6,,,21,84,89,85,82,Balanced,65,High
4634219,16,home,3,,,22,81,83,80,82,Balanced,65,High
4625892,762,home,2,,,13,81,81,84,80,Short passing,50,Balanced
4620807,6195,home,3,,,48,81,79,82,80,Balanced,65,High
4625890,31,home,0,,,9,85,85,86,83,Balanced,65,High
4620804,430,home,1,,,110374,77,79,75,75,Short passing,65,High
4642952,122,home,1,,,209,68,67,71,67,Short passing,90,High
4620805,46,home,0,,,44,83,86,83,83,Balanced,90,High
4625884,11,home,4,,,1,84,86,84,84,Balanced,65,High
4714986,141,home,0,,,325,80,84,80,79,Balanced,65,High
4715122,16,home,4,,,22,81,83,80,82,Balanced,65,High
4715021,244,home,2,,,219,79,81,79,79,Balanced,65,High
4715095,281,home,0,,,10,84,82,85,82,Balanced,65,High
4715030,62,home,0,,,266,75,74,75,73,Short passing,50,Balanced
4715028,501,home,2,,,918,71,70,73,70,Balanced,90,High
4715013,6195,home,2,,,48,81,79,82,80,Balanced,65,High
4715053,631,home,3,,,5,80,80,82,80,Balanced,65,High
4715125,13,home,2,,,240,82,84,81,82,Balanced,65,High
4715005,24,home,0,,,1824,78,77,78,80,Short passing,65,High
4715060,583,home,5,,,73,84,85,84,85,Balanced,90,High
4715114,336,home,3,,,237,79,79,80,77,Balanced,65,High
4715066,31,home,1,,,9,85,85,86,83,Balanced,65,High
4715049,683,home,3,,,280,76,79,76,75,Balanced,90,High
4715130,11,home,3,,,1,84,86,84,84,Balanced,65,High
4715952,36,home,1,,,326,79,79,79,76,Balanced,90,High
4715949,405,home,2,,,2,80,83,81,80,Balanced,50,Balanced
4715931,1082,home,4,,,65,76,79,76,76,Balanced,65,High
4715917,12,home,2,,,52,80,77,79,80,Balanced,50,Balanced
4716019,1025,home,4,,,189,76,76,77,74,Balanced,65,High
4716033,265,home,2,,,1884,74,73,74,73,Counter,50,Balanced
4715973,941,home,0,,,110468,72,73,71,73,Short passing,90,High
4716049,1184,home,2,,,673,73,72,73,75,Balanced,50,Balanced
4716085,255,home,0,,,1871,69,69,70,70,Balanced,90,High
4715924,124,home,1,,,86,73,72,73,72,Balanced,90,High
4716151,9644,home,4,,,114326,69,71,69,70,Balanced,90,High
4715928,234,home,1,,,246,75,76,77,74,Short passing,65,High
4716112,667,home,2,,,76,75,76,74,75,Short passing,65,High
4635130,162,home,1,,,69,78,77,75,77,Balanced,65,High
4634228,15,home,1,,,32,79,82,79,77,Balanced,50,Balanced
4620818,5,home,1,,,47,81,82,79,78,Short passing,50,Balanced
4625896,631,home,1,,,5,80,80,82,80,Balanced,65,High
4645766,368,home,0,,,481,75,75,76,75,Counter,50,Balanced
4641280,58,home,1,,,229,71,74,70,68,Balanced,90,High
4645763,681,home,2,,,457,77,79,77,75,Short passing,90,High
4620812,800,home,2,,,39,79,79,79,79,Short passing,50,Balanced
4642958,413,home,3,,,252,68,73,68,68,Balanced,30,Deep
4620821,12,home,0,,,52,80,77,79,80,Balanced,50,Balanced
4625900,703,home,0,,,14,79,79,79,79,Balanced,50,Balanced
4625897,873,home,1,,,1799,79,78,77,80,Short passing,30,Deep
4625903,379,home,0,,,19,77,78,77,77,Short passing,30,Deep
4647882,36,home,1,,,326,79,79,79,76,Balanced,90,High
4761580,16,home,0,,,22,81,83,80,82,Balanced,65,High
4625912,762,home,2,,,13,81,81,84,80,Short passing,50,Balanced
4645831,131,home,3,,,241,85,85,85,82,Balanced,65,High
4625906,1237,home,3,,,1808,78,78,78,78,Short passing,65,High
4645837,621,home,0,,,448,80,78,81,78,Short passing,65,High
4761581,89,home,2,,,1831,75,72,73,75,Counter,30,Deep
4625911,985,home,1,,,11,80,82,80,79,Balanced,65,High
4736144,398,home,1,,,46,79,80,77,78,Balanced,30,Deep
4635132,1082,home,1,,,65,76,79,76,76,Balanced,65,High
4648686,294,home,1,,,234,78,79,78,77,Balanced,90,High
4634238,23826,home,6,,,112172,78,77,76,80,Counter,65,High
4641287,3948,home,1,,,2014,74,74,73,75,Balanced,50,Balanced
4634239,79,home,0,,,36,77,78,77,74,Balanced,90,High
4645779,621,home,1,,,448,80,78,81,78,Short passing,65,High
4645772,150,home,3,,,449,78,77,79,77,Balanced,50,Balanced
4635140,583,home,5,,,73,84,85,84,85,Balanced,90,High
4625914,405,home,2,,,2,80,83,81,80,Balanced,50,Balanced
4625916,1237,home,1,,,1808,78,78,78,78,Short passing,65,High
4620835,398,home,1,,,46,79,80,77,78,Balanced,30,Deep
4620836,6195,home,2,,,48,81,79,82,80,Balanced,65,High
4715096,162,home,1,,,69,78,77,75,77,Balanced,65,High
4715058,46,home,0,,,44,83,86,83,83,Balanced,90,High
4715064,3948,home,2,,,2014,74,74,73,75,Balanced,50,Balanced
4715135,131,home,2,,,241,85,85,85,82,Balanced,65,High
4715092,27,home,3,,,21,84,89,85,82,Balanced,65,High
