player_id,player_name,full_name,date_of_birth,nationality,height_cm,weight_kg,best_position,positions,overall_rating,potential,preferred_foot,weak_foot,skill_moves,current_sofifa_team_id,current_club_name,sofifa_value_eur,transfermarkt_market_value_eur,has_sofifa_profile,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,fk_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,attack_position,vision,penalties,composure,defensive_awareness,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes
231866,Rodri -, Rodrigo Hernández Cascante,1996-06-22,Spain,190,82,CDM,"CDM,CM",91,91,Right,4 ,3 ,10,Manchester City,115500000,,1,,,,,,,,,,,,,,,d,,,,,,,,,,,,,,,,,,,
209331,Mohamed Salah Hamed Ghaly -,Mohamed Salah Hamed Ghalyمحمد صلاح,1992-06-15,,175,72,RM,"RM,RW",91,91,Left,3 ,4 ,9,Liverpool,104000000,,1,,,,,,,,,,,,,,,dAttack,,,,,,,,,,,,,,,,,,,
252371,Jude Victor William Bellingham -, Jude Victor William Bellingham,2003-06-29,England,186,75,CAM,"CAM,CM",90,94,Right,4 ,4 ,243,Real Madrid,174500000,,1,,,,,,,,,,,,,,,Build-UpdRoaming,,,,,,,,,,,,,,,,,,,
239085,Erling Braut Håland -, Erling Braut Håland,2000-07-21,Norway,195,94,ST,ST,90,92,Left,3 ,3 ,10,Manchester City,157000000,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238794,Vini Jr. -, Vinicius José Paixão de Oliveira Junior,2000-07-12,,176,73,LW,"LW,ST",90,94,Right,4 ,5 ,243,Real Madrid,171500000,,1,,,,,,,,,,,,,,,AttackdRoaming,,,,,,,,,,,,,,,,,,,
231747,Kylian Mbappé Lottin -, Kylian Mbappé Lottin,1998-12-20,France,182,75,ST,"ST,LW",90,93,Right,4 ,5 ,243,Real Madrid,160000000,,1,,,,,,,,,,,,,,,AttackdRoaming,,,,,,,,,,,,,,,,,,,
203376,Virgil van Dijk -, Virgil van Dijk,1991-07-08,Netherlands,193,92,CB,CB,90,90,Right,3 ,2 ,9,Liverpool,77500000,,1,,,,,,,,,,,,,,,Defendd,,,,,,,,,,,,,,,,,,,
202126,Harry Edward Kane -, Harry Edward Kane,1993-07-28,England,188,86,ST,ST,90,90,Right,4 ,3 ,21,FC Bayern München,117500000,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256630,Florian Richard Wirtz -, Florian Richard Wirtz,2003-05-03,Germany,177,71,CAM,"CAM,ST",89,92,Right,4 ,4 ,32,Bayer 04 Leverkusen,143500000,,1,,,,,,,,,,,,,,,Build-UpdRoaming,,,,,,,,,,,,,,,,,,,
212831,Alisson -, Alisson Ramsés Becker,1992-10-02,,193,91,GK,GK,89,89,Right,3 ,1 ,9,Liverpool,54500000,,1,,,,,,,,,,,,,,,d,,,,,,,,,,,,,,,,,,,
192985,Kevin De Bruyne -, Kevin De Bruyne,1991-06-28,,181,75,CM,"CM,CAM",89,89,Right,5 ,4 ,10,Manchester City,63500000,,1,,,,,,,,,,,,,,,Attackd,,,,,,,,,,,,,,,,,,,
192119,Thibaut Nicolas Marc Courtois -, Thibaut Nicolas Marc Courtois,1992-05-11,,200,96,GK,GK,89,89,Left,3 ,1 ,243,Real Madrid,51000000,,1,,,,,,,,,,,,,,,Defendd,,,,,,,,,,,,,,,,,,,
188545,Robert Lewandowski -, Robert Lewandowski,1988-08-21,Poland,185,81,ST,ST,89,89,Right,4 ,4 ,241,FC Barcelona,44000000,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256790,Jamal Musiala -, Jamal Musiala,2003-02-26,Germany,184,72,CAM,"CAM,LM,CM",88,92,Right,4 ,5 ,21,FC Bayern München,133500000,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246669,Bukayo Saka -, Bukayo Saka,2001-09-05,England,178,65,RW,"RW,RM",88,90,Left,4 ,3 ,1,Arsenal,121000000,,1,,,,,,,,,,,,,,,AttackdRoaming,,,,,,,,,,,,,,,,,,,
